label_id	Annotated Archetype
1	
2	
3	
4	
5	
6	
7	
8	1.0
9	1.0
10	
11	
12	1.0
13	1.0
14	1.0
15	1.0
16	
17	1.0
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	1.0
36	1.0
37	
38	
39	1.0
40	
41	
42	
43	
44	
45	
46	
47	4.0
48	
49	
50	2.0
51	
52	
53	
54	
55	2.0
56	
57	
58	
59	
60	3.0
61	
62	
63	
64	
65	
66	
67	
68	
69	3.0
70	
71	2.0
72	
73	
74	
75	
76	
77	
78	
79	4.0
80	2.0
81	
82	2.0
83	
84	2.0
85	
86	
87	
88	4.0
89	
90	
91	
92	
93	
94	
95	
96	
97	
98	
99	
100	
101	
102	2.0
103	
104	
105	
106	
107	
108	
109	
110	
111	
112	
113	2.0
114	3.0
115	2.0
116	
117	
118	
119	
120	2.0
121	2.0
122	
123	
124	3.0
125	
126	
127	
