label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	3
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	4
20	1
21	1
22	1
23	2
24	1
25	3
26	2
27	2
28	1
29	1
30	2
31	1
32	2
33	1
34	3
35	3
36	1
37	1
38	2
39	1
40	2
41	2
42	2
43	2
44	2
45	1
46	2
47	1
48	1
49	3
50	2
51	2
52	1
53	1
54	4
55	1
56	2
57	2
58	1
59	4
60	1
61	1
62	4
63	2
64	2
65	2
66	1
67	2
68	2
69	1
70	1
71	2
72	2
73	2
74	1
75	4
76	2
77	1
78	2
79	3
80	3
81	2
82	2
83	4
84	2
85	2
86	2
87	1
88	3
89	2
90	2
91	2
92	2
93	3
94	2
95	2
96	2
97	2
98	2
99	2
100	2
101	2
102	4
103	2
104	2
105	2
106	4
107	2
108	3
109	2
110	2
111	2
112	2
113	3
114	2
