label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	2
6	1
7	1
8	1
9	3
10	1
11	1
12	4
13	1
14	1
15	1
16	1
17	2
18	4
19	1
20	2
21	1
22	2
23	2
24	2
25	4
26	4
27	1
28	2
29	4
30	4
31	1
32	3
33	2
34	2
35	2
36	1
37	3
38	2
39	2
40	1
41	1
42	2
43	2
44	1
45	3
46	2
47	3
48	1
49	4
50	2
51	2
52	1
53	2
54	2
55	2
56	2
57	2
58	1
59	3
60	2
61	3
62	1
63	1
64	1
65	1
66	1
67	2
68	1
69	1
70	1
71	2
72	4
73	2
74	2
75	4
76	2
77	2
78	3
79	4
80	3
81	2
82	1
83	2
84	2
85	2
86	2
87	3
88	3
89	3
90	2
91	3
92	2
93	2
94	4
95	3
96	2
97	2
98	2
99	2
100	2
101	2
102	4
103	2
104	3
