label_id	Annotated Archetype
1	
2	
3	
4	
5	
6	1.0
7	
8	
9	
10	
11	
12	
13	
14	1.0
15	
16	
17	
18	
19	
20	
21	
22	
23	1.0
24	
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	1.0
36	1.0
37	
38	
39	
40	
41	
42	
43	
44	2.0
45	
46	
47	
48	
49	1.0
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	3.0
60	3.0
61	
62	2.0
63	
64	2.0
65	
66	
67	
68	
69	
70	
71	
72	
73	
74	
75	
76	
77	
78	2.0
79	
80	3.0
81	
82	
83	2.0
84	2.0
85	
86	
87	
88	
89	3.0
90	
91	
92	
93	
94	2.0
95	
96	2.0
97	
98	
99	3.0
100	
101	
102	
103	
104	
105	
106	
107	2.0
108	
109	
110	
111	2.0
112	
113	
114	4.0
115	
116	4.0
117	4.0
118	
