label_id	Predicted Archetype
1	3
2	1
3	1
4	4
5	1
6	1
7	1
8	2
9	2
10	1
11	1
12	1
13	2
14	1
15	4
16	2
17	2
18	2
19	1
20	1
21	1
22	2
23	1
24	2
25	2
26	2
27	2
28	1
29	1
30	2
31	2
32	1
33	1
34	1
35	2
36	1
37	4
38	2
39	2
40	1
41	1
42	2
43	1
44	2
45	1
46	2
47	2
48	1
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	1
59	2
60	4
61	1
62	1
63	1
64	1
65	2
66	2
67	1
68	2
69	2
70	2
71	1
72	2
73	2
74	2
75	2
76	1
77	2
78	1
79	2
80	2
81	2
82	1
83	4
84	4
85	4
86	1
87	2
88	4
89	4
90	2
91	4
92	2
93	2
94	2
95	2
96	1
