label_id	Predicted Archetype
1	1
2	1
3	1
4	2
5	1
6	1
7	1
8	4
9	2
10	1
11	2
12	4
13	2
14	1
15	1
16	2
17	2
18	1
19	1
20	4
21	4
22	4
23	1
24	1
25	1
26	2
27	1
28	3
29	1
30	1
31	1
32	1
33	1
34	2
35	2
36	3
37	2
38	2
39	1
40	1
41	1
42	1
43	2
44	1
45	2
46	1
47	1
48	1
49	2
50	1
51	1
52	2
53	2
54	1
55	1
56	1
57	3
58	1
59	1
60	4
61	1
62	1
63	2
64	2
65	2
66	2
67	3
68	1
69	2
70	2
71	1
72	1
73	1
74	2
75	2
76	1
77	2
78	2
79	1
80	1
81	2
82	2
83	4
84	2
85	2
86	2
87	2
88	1
89	2
90	2
91	1
92	2
93	2
94	1
95	4
96	2
97	1
98	2
99	2
100	1
101	2
102	2
103	2
104	1
105	4
106	2
107	2
108	2
109	2
110	2
111	4
112	2
113	2
114	2
115	4
116	2
117	2
118	1
119	1
120	2
121	1
122	2
123	2
124	4
125	4
126	2
